pdb_id,author_family_name
1awy,Rigby
1awy,Baleja
1awy,Li
1awy,Pedersen
1awy,Furie
1awy,Furie
1awz,Lequin
1awz,Thuring
1awz,Robin
1awz,Lallemand
1ax3,Chen
1ax3,Case
1ax3,Reizer
1ax3,Saier Jr.
1ax3,Wright
1ax6,Mao
1ax6,Gorin
1ax6,Gu
1ax6,Hingerty
1ax6,Broyde
1ax6,Patel
1ax7,Mao
1ax7,Gu
1ax7,Gorin
1ax7,Hingerty
1ax7,Broyde
1ax7,Patel
1axh,Fletcher
1axh,Smith
1axh,
1axh,Nilges
1axh,Connor
1axh,Howden
1axh,Christie
1axh,King
1axj,Liepinsh
1axj,Kitamura
1axj,Murakami
1axj,Nakaya
1axj,Otting
1axl,Feng
1axl,Gorin
1axl,Kolbanovskiy
1axl,Hingerty
1axl,Geacintov
1axl,Broyde
1axl,Patel
1axo,Feng
1axo,Gorin
1axo,Hingerty
1axo,Geacintov
1axo,Broyde
1axo,Patel
1axp,Gyi
1axp,Lane
1axp,Conn
1axp,Brown
1axu,Gu
1axu,Gorin
1axu,Krishnasamy
1axu,Hingerty
1axu,Basu
1axu,Broyde
1axu,Patel
1axv,Mao
1axv,Gu
1axv,Gorin
1axv,Chen
1axv,Hingerty
1axv,Amin
1axv,Broyde
1axv,Geacintov
1axv,Patel
1axx,Arnesano
1axx,Banci
1axx,Bertini
1axx,Felli
1ay3,Annila
1ay3,Lehtimaki
1ay3,Mattila
1ay3,Eriksson
1ay3,Sivonen
1ay3,Rantala
1ay3,Drakenberg
1ayg,Hasegawa
1ayg,Yoshida
1ayg,Yamazaki
1ayg,Sambongi
1ayg,Yu
1ayg,Igarashi
1ayg,Kodama
1ayg,Yamazaki
1ayg,Kyogoku
1ayg,Kobayashi
1ayj,Fant
1ayj,Vranken
1ayj,Broekaert
1ayj,Borremans
1ayk,Moy
1ayk,Chanda
1ayk,Cosmi
1ayk,Pisano
1ayk,Urbano
1ayk,Wilhelm
1ayk,Powers
1az6,Mattinen
1az6,Kontteli
1az6,Kerovuo
1az6,Linder
1az6,Annila
1az6,Lindeberg
1az6,Reinikainen
1az6,Drakenberg
1aze,Vidal
1aze,Goudreau
1aze,Cornille
1aze,Cussac
1aze,Gincel
1aze,Garbay
1azg,Renzoni
1azg,Pugh
1azg,Siligardi
1azg,Das
1azg,Morton
1azg,Rossi
1azg,Waterfield
1azg,Campbell
1azg,Ladbury
1azh,Mattinen
1azh,Kontteli
1azh,Kerovuo
1azh,Linder
1azh,Annila
1azh,Lindeberg
1azh,Reinikainen
1azh,Drakenberg
1azj,Mattinen
1azj,Kontteli
1azj,Kerovuo
1azj,Linder
1azj,Annila
1azj,Lindeberg
1azj,Reinikainen
1azj,Drakenberg
1azk,Mattinen
1azk,Kontteli
1azk,Kerovuo
1azk,Linder
1azk,Annila
1azk,Lindeberg
1azk,Reinikainen
1azk,Drakenberg
1b03,Tugarinov
1b03,Zvi
1b03,Levy
1b03,Anglister
1b0q,Giblin
1b0q,Wang
1b0q,Hoffman
1b0q,Jurisson
1b0q,Quinn
1b0s,Yang
1b0s,Kaenzig
1b0s,Lee
1b0s,Wang
1b10,James
1b10,Liu
1b10,Ulyanov
1b10,Farr-Jones
1b10,Zhang
1b10,Donne
1b10,Kaneko
1b10,Groth
1b10,Mehlhorn
1b10,Prusiner
1b10,Cohen
1b1a,Hoffmann
1b1a,Konrat
1b1a,Bothe
1b1a,Buckel
1b1a,Krautler
1b1g,Kordel
1b1g,Pearlman
1b1g,Chazin
1b1v,Volkman
1b1v,Anderson
1b1v,Clark
1b1v,Hayakawa
1b1v,Strand
1b1v,Markley
1b22,Aihara
1b22,Ito
1b22,Kurumizaka
1b22,Yokoyama
1b22,Shibata
1b28,Nooren
1b28,Rietveld
1b28,Melacini
1b28,Sauer
1b28,Kaptein
1b28,Boelens
1b2i,Marti
1b2i,Schaller
1b2i,Llinas
1b2t,Mizoue
1b2t,Bazan
1b2t,Johnson
1b2t,Handel
1b36,Butcher
1b36,Allain
1b36,Feigon
1b3c,Jablonsky
1b3c,Jackson
1b3c,Trent
1b3c,Watt
