bmrb_id,author_family_name
412,Brown
412,De Marco
412,Richarz
412,Wagner
412,Wuthrich
413,Brown
413,De Marco
413,Richarz
413,Wagner
413,Wuthrich
414,Brown
414,De Marco
414,Richarz
414,Wagner
414,Wuthrich
415,Brown
415,De Marco
415,Richarz
415,Wagner
415,Wuthrich
416,Brown
416,De Marco
416,Richarz
416,Wagner
416,Wuthrich
417,Bullock
417,Konishi
417,Ni
417,Rivetna
417,Scheraga
418,Pease
418,Wemmer
419,Kumar
419,Wagner
419,Wuthrich
420,Cavanagh
420,Lee
420,Wright
421,Williamson
422,Braun
422,Go
422,Kobayashi
422,Kyogoku
422,Nishiuchi
422,Ohkubo
422,Sakakibara
423,Braun
423,Go
423,Kobayashi
423,Kyogoku
423,Nishiuchi
423,Ohkubo
423,Sakakibara
426,Bondon
426,Simonneaux
426,Sinbandhit
426,Sodano
428,Kotovych
428,Otter
428,Scott
429,Kotovych
429,Otter
429,Scott
430,Kotovych
430,Otter
430,Scott
432,Papastavros
432,Redfield
433,Papastavros
433,Redfield
434,Clore
434,Driscoll
434,Gronenborn
434,Marion
434,Wingfield
435,Clore
435,Driscoll
435,Gronenborn
435,Marion
435,Wingfield
436,Englander
436,Feng
437,Englander
437,Feng
438,Englander
438,Feng
439,Englander
439,Feng
440,Edalji
440,Greer
440,Mollison
440,Nettesheim
440,Zuiderweg
441,Arrowsmith
441,Hyde
441,Jardetzky
441,Klaic
441,Ramesh
441,Roberts
441,Treat-Clemons
442,Arrowsmith
442,Hyde
442,Jardetzky
442,Klaic
442,Ramesh
442,Roberts
442,Treat-Clemons
443,Bruix
443,Gonzalez
443,Herranz
443,Neira
443,Nieto
443,Rico
443,Santoro
444,Folkers
444,Harmsen
444,Hilbers
444,Konings
444,Stassen
444,van Duynhoven
447,Markley
447,Oh
448,Bruch
448,Gierasch
448,McKnight
449,Kemple
449,Prendergast
449,Weaver
450,Kemple
450,Prendergast
450,Weaver
451,Kemple
451,Prendergast
451,Weaver
452,Kemple
452,Prendergast
452,Weaver
453,Kemple
453,Prendergast
453,Weaver
454,Kemple
454,Prendergast
454,Weaver
455,Kemple
455,Prendergast
455,Weaver
456,Kemple
456,Prendergast
456,Weaver
457,Kemple
457,Prendergast
457,Weaver
458,Kemple
458,Prendergast
458,Weaver
459,Kemple
459,Prendergast
459,Weaver
460,Kemple
460,Prendergast
460,Weaver
461,Kemple
461,Prendergast
461,Weaver
462,Kemple
462,Prendergast
462,Weaver
463,Kemple
463,Prendergast
463,Weaver
464,Kemple
464,Prendergast
464,Weaver
465,Kemple
465,Prendergast
465,Weaver
466,Kemple
466,Prendergast
466,Weaver
467,Kemple
467,Prendergast
467,Weaver
468,Kemple
468,Prendergast
468,Weaver
469,Kemple
469,Prendergast
469,Weaver
470,Kemple
470,Prendergast
470,Weaver
471,Kemple
471,Prendergast
471,Weaver
472,Kemple
472,Prendergast
472,Weaver
473,Kemple
473,Prendergast
473,Weaver
474,Kemple
474,Prendergast
474,Weaver
475,Kemple
475,Prendergast
475,Weaver
476,Burke
476,Kloczewiak
476,Lindon
476,Mayo
477,Burke
477,Kloczewiak
477,Lindon
477,Mayo
478,Campbell-Burk
479,Campbell-Burk
480,Beress
480,Clore
480,Driscoll
480,Gronenborn
481,Beress
481,Clore
481,Driscoll
481,Gronenborn
485,Coffin
485,Cowburn
485,Glushka
485,Lee
486,Neri
486,Otting
486,Wuthrich
488,Gould
488,Mabbutt
488,Norton
489,Gould
489,Mabbutt
489,Norton
490,Konishi
490,Ni
490,Scheraga
491,Bjornberg
491,Chary
491,Fuchs
491,Holmgren
491,Kren
491,Sodano
491,Wuthrich
494,LeMaster
494,Markley
494,Wang
495,LeMaster
495,Markley
495,Wang
496,Hinck
496,Loh
496,Markley
496,Wang
497,Hinck
497,Loh
497,Markley
497,Wang
498,Smith
498,Yu
499,Moench
499,Satterlee
500,Moench
500,Satterlee
505,Banci
505,Bertini
505,Luchinat
505,Piccioli
505,Scozzafava
505,Turano
506,Banci
506,Bertini
506,Luchinat
506,Piccioli
506,Scozzafava
506,Turano
507,Markley
507,Rhyu
507,Robertson
507,Westler
508,Markley
508,Rhyu
508,Robertson
508,Westler
509,Bradbury
509,de Ropp
509,Glass
509,Kinzel
509,Liddle
509,Reed
509,Trewhella
509,Walsh
510,Bradbury
510,de Ropp
510,Glass
510,Kinzel
510,Liddle
510,Reed
510,Trewhella
510,Walsh
511,Bradbury
511,de Ropp
511,Glass
511,Kinzel
511,Liddle
511,Reed
511,Trewhella
511,Walsh
512,Bradbury
512,de Ropp
512,Glass
512,Kinzel
512,Liddle
512,Reed
512,Trewhella
512,Walsh
513,Bradbury
513,de Ropp
513,Glass
513,Kinzel
513,Liddle
513,Reed
513,Trewhella
513,Walsh
514,Bradbury
514,de Ropp
514,Glass
514,Kinzel
514,Liddle
514,Reed
514,Trewhella
514,Walsh
515,Bradbury
515,de Ropp
515,Glass
515,Kinzel
515,Liddle
515,Reed
515,Trewhella
515,Walsh
516,Boulanger
516,Saunders
516,Theriault
517,Ferretti
517,Han
517,Niu
517,Roller
528,Bycroft
528,Chan
528,Lian
528,Roberts
529,Bycroft
529,Chan
529,Lian
